Le nom commercial ;Quantité en stock;Prix Public;Date derniére sortie;Listes;Classes;Formes
Combimal inj B/3;0;40;;Liste I;Antipaludique;Injectables
Cotecxin cp B/8;0;40;;Liste I;Antipaludique;Comprimes Gelules
Cotecxin sp 160mg/80ml Fl/80ml;0;40;;Liste I;Antipaludique;Sirops
Cotrex 400/80mg cp B/10x2;0;40;09/02/2022;Liste I;Antipaludique;Comprimes Gelules
Cotrex 800/160mg cp B/10;0;40;;Liste I;Antipaludique;Comprimes Gelules
Cotrex sp Fl/60ml;0;40;08/08/2022;Liste I;Antipaludique;Sirops
Darte Q gelulles B/9;0;4?218;22/07/2020;SANS TABLEAU;Antipaludique;Sachets Granules poudres orales
Dihydroartemisinine Ubigen plaq/8 cp;0;40;;Liste I;Antipaludique;Comprimes Gelules
Dualkin Ad cp B/3+3;0;40;;Liste I;Antipaludique;Comprimes Gelules
Dualkin Enf cp B/6+2;0;40;;Liste I;Antipaludique;Comprimes Gelules
Dulciquine 30mg cp B/6;0;30;;Liste II;Antipaludique;Comprimes Gelules
Dulciquine sp Fl/60ml;0;30;;Liste II;Antipaludique;Sirops
Duocotecxin cp B/8;1;4?961;10/08/2023;Liste I;Antipaludique;Comprimes Gelules
Falcimon cp adulte apres 13 ans B/12 ;0;40;;Liste I;Antipaludique;Comprimes Gelules
Falcimon cp enfant 7 e 13 ans B/6;0;40;;Liste I;Antipaludique;Comprimes Gelules
Falcimon cp nourisson 0 e 6 ans B/6 ;0;40;;LISTE I;Antipaludique;Comprimes Gelules
Fansidar cp B/3;30;1?083;19/09/2023;LISTE I;Antipaludique;Comprimes Gelules
Fansidar inj B/2 amp  de 2,5ml;0;40;;Liste I;Antipaludique;Injectables
Flavoquine sp Fl/90ml;0;30;;Liste II;Antipaludique;Sirops
Gsunate 100mg cp B/6;0;40;;Liste I;Antipaludique;Comprimes Gelules
Gvither sp Fl/100ml;0;40;;Liste I;Antipaludique;Sirops
Halfan 250mg cp B/6;0;40;;Liste I;Antipaludique;Comprimes Gelules
Halfan sp Fl/45ml;0;40;;Liste I;Antipaludique;Sirops
Larimal cp 0 e 6 ans B/3;0;40;;Liste I;Antipaludique;Comprimes Gelules
Larimal cp 7-13 ans B/6;0;40;;Liste I;Antipaludique;Comprimes Gelules
Larimal cp apres 13 ans B/12;0;40;;Liste I;Antipaludique;Comprimes Gelules
Lufanter cp B/12;0;2?400;08/11/2022;LISTE I;Antipaludique;Comprimes Gelules
Lufanter pediatrique suppo B/6;0;40;;Liste I;Antipaludique;Suppositoires
Lufanter ped suppo B/6;0;40;;Liste I;Antipaludique;Suppositoires
Lufanter sp Fl/60ml;2;2?452;22/08/2023;Liste I;Antipaludique;Sirops
Madar cp B/3;1;273;26/07/2023;LISTE I;Antipaludique;Comprimes Gelules
Malarone cp A B/12;0;40;;Liste I;Antipaludique;Comprimes Gelules
Malarone cp E B/6;0;40;;LISTE I;Antipaludique;Comprimes Gelules
Malather 20mg amp inj B/10;0;40;;Liste I;Antipaludique;Injectables
Malather 80mg amp inj B/5;0;40;;Liste I;Antipaludique;Injectables
Malather sp Fl/100ml ;0;40;;Liste I;Antipaludique;Sirops
Malavan 100mg cp B/6;0;40;;LISTE I;Antipaludique;Comprimes Gelules
Maloxine cp plaq/3;90;599;21/09/2023;LISTE I;Antipaludique;Comprimes Gelules
Maloxine inj B/2 amp de 2,5ml;0;40;;Liste I;Antipaludique;Injectables
Maxipal 100mg CP B/20;0;30;;Liste II;Antipaludique;Comprimes Gelules
Maxipal 300mg cp B/4;0;30;;LISTE II;Antipaludique;Comprimes Gelules
Mephaquin B/4 cp;0;4?258;26/02/2019;Liste I;Antipaludique;Comprimes Gelules
Metakelfin cp B/3;0;40;;Liste I;Antipaludique;Comprimes Gelules
Nivaquine 100mg cp B/100;0;30;;Liste II;Antipaludique;Comprimes Gelules
Nivaquine sp Fl/150ml;0;30;;Liste II;Antipaludique;Sirops
P Alaxin sp Fl/80ml;0;40;;Liste I;Antipaludique;Sirops
Paluject 0,2mg inj B/6 amp;0;40;24/01/2020;LISTE I;Antipaludique;Injectables
Paluject 0,4 detail 1 amp;0;89;20/07/2020;LISTE I;Antipaludique;Injectables
Paluject 0,4mg inj B/6 amp;5;1?446;03/09/2022;LISTE I;Antipaludique;Injectables
Paluther 40mg inj B/6 amp de 0,5ml;0;40;;LISTE I;Antipaludique;Injectables
Paluther 80mg inj B/6 amp de 0,5ml;0;40;;Liste I;Antipaludique;Injectables
Paluxine creat plaq/3;0;40;;Liste I;Antipaludique;Comprimes Gelules
Plasmotrim 200mg cp B/6;0;40;;Liste I;Antipaludique;Comprimes Gelules
Plasmotrim 200mg suppo B/6;0;40;;Liste I;Antipaludique;Suppositoires
Plasmotrim 50mg cp B/12;0;40;11/08/2018;Liste I;Antipaludique;Comprimes Gelules
Plasmotrim 50mg suppo  B/6;0;2?149;09/08/2018;Liste I;Antipaludique;Suppositoires
Quinimax 125mg cp B/18 ;1;3?425;11/09/2023;Liste I;Antipaludique;Comprimes Gelules
Quinimax 250mg inj B/3;0;40;;Liste I;Antipaludique;Comprimes Gelules
Quinimax 500mg cp B/9;2;5?429;04/05/2022;Liste I;Antipaludique;Comprimes Gelules
Quinimax 500mg inj B/3 amp de 4ml;0;40;;Liste I;Antipaludique;Comprimes Gelules
Savarine  cp B/28;0;30;;Liste II;Antipaludique;Comprimes Gelules
Sulfadoxine pyrimethamine UBI Fl/6ml;0;40;;Liste I;Antipaludique;Sirops
Surquina 250mg cp B/18;0;40;;Liste I;Antipaludique;Comprimes Gelules
Dazen cp B/40;0;30;;Liste II;Antioedemateux;Comprimes Gelules
Ribatran cp B/20;3;3?149;20/09/2023;SANS TABLEAU;Antioedemateux;Comprimes Gelules
Figurin gelu B/60;1;9?237;04/04/2023;SANS TABLEAU;Antiobesite;Comprimes Gelules
Nolvadex 10mg cp B/30;0;40;;Liste I;Antineoplasique Antiestrogene;Comprimes Gelules
Nolvadex cp B/30;0;40;;Liste I;Antineoplasique Antiestrogene;Comprimes Gelules
Methotrexate inj B/10 amp /2ml;0;40;02/01/2020;Liste I;Antineoplasique;Injectables
Nautamine cp B/20;0;0;;SANS TABLEAU;Antinaupathique;Comprimes Gelules
Gynomax ovule B/6;1;2?465;15/09/2023;LISTE I;Antimycosique Antifongique Antiparasitaire;Ovules comprimes gynecologiques
Tergynan ovule B/10;3;2?985;28/06/2023;LISTE I;Antimycosique Antifongique Antibacterien;Ovules comprimes gynecologiques
Tergynan ovule B/6;0;1?917;06/02/2023;LISTE I;Antimycosique Antifongique Antibacterien;Ovules comprimes gynecologiques
Beta-salic30g pde;1;1?718;06/05/2023;LISTE I;Antimycosique Antifongique;Pommades cremes
Candid creme T/20g;4;1?520;21/09/2023;LISTE I;Antimycosique Antifongique;Pommades cremes
Candid ovule B/6;4;1?949;21/09/2023;LISTE I;Antimycosique Antifongique;Ovules comprimes gynecologiques
Canova 100 cp B/4;1;5?170;12/05/2021;Liste I;Antimycosique Antifongique;Comprimes Gelules
Clotridenk 1% creme T/20g ;4;1?557;18/09/2023;LISTE I;Antimycosique Antifongique;Pommades cremes
Clotridenk ovule B/6;0;2?011;18/07/2023;LISTE I;Antimycosique Antifongique;Ovules comprimes gynecologiques
Coamox 181mg sp N Fl/70ml;0;4?295;28/10/2020;Liste I;Antimycosique Antifongique;Sirops
Daktarin pdre Fl/30g;0;40;;LISTE I;Antimycosique Antifongique;Poudres externes
Dermofix creme T/20g;3;2?872;15/09/2023;SANS TABLEAU;Antimycosique Antifongique;Pommades cremes
Diflucan 150mg cp B/1;1;7?878;17/09/2023;Liste I;Antimycosique Antifongique;Comprimes Gelules
Diflucan 150mg cp B/4;0;40;26/09/2022;Liste I;Antimycosique Antifongique;Comprimes Gelules
Ecomi creme 1% T/30g;0;0;;SANS TABLEAU;Antimycosique Antifongique;Pommades cremes
Ecomi Lait derm 1%  Fl/30ml;1;0;;SANS TABLEAU;Antimycosique Antifongique;Lait
Ecomi Lait spray Fl/30ml;1;0;;SANS TABLEAU;Antimycosique Antifongique;Spray solutions externes
Ecomi ovule B/3;0;0;;SANS TABLEAU;Antimycosique Antifongique;Ovules comprimes gynecologiques
Ecomi ovule B/6;0;0;;SANS TABLEAU;Antimycosique Antifongique;Ovules comprimes gynecologiques
Ecorex creme T/30g;9;2?643;21/09/2023;SANS TABLEAU;Antimycosique Antifongique;Pommades cremes
Ecorex lait Fl/30ml;6;2?603;21/08/2023;SANS TABLEAU;Antimycosique Antifongique;Lait
Ecorex ovule B/3;1;3?312;20/08/2023;SANS TABLEAU;Antimycosique Antifongique;Ovules comprimes gynecologiques
Exoderil creme T/15;4;2?975;11/09/2023;SANS TABLEAU;Antimycosique Antifongique;Pommades cremes
Exoderil sol Fl/10ml;0;2?556;11/04/2023;SANS TABLEAU;Antimycosique Antifongique;Solutions externes lotions
Fazol creme T/30g;1;3?590;21/09/2023;SANS TABLEAU;Antimycosique Antifongique;Pommades cremes
Fazole G ovule B/3;0;0;;SANS TABLEAU;Antimycosique Antifongique;Ovules comprimes gynecologiques
Flucazol 100mg cp B/10;14;2?149;17/09/2023;LISTE I;Antimycosique Antifongique;Comprimes Gelules
Flucazol sp  500mg/5ml Fl/60ml;15;2?150;09/09/2023;LISTE I;Antimycosique Antifongique;Sirops
Flucess 150mg cp B/1;5;1?891;15/09/2023;LISTE I;Antimycosique Antifongique;Comprimes Gelules
Flucess 50mg cp B/7;1;1?728;19/04/2023;Liste I;Antimycosique Antifongique;Comprimes Gelules
Fluzon 150mg B2;0;2?694;14/09/2023;LISTE I;Antimycosique Antifongique;Comprimes Gelules
Fungilyse creme /25g;0;2?109;18/07/2019;SANS TABLEAU;Antimycosique Antifongique;Pommades cremes
Fungilyse ovule B/6;0;2?563;10/01/2018;SANS TABLEAU;Antimycosique Antifongique;Ovules comprimes gynecologiques
Funzol 150 cp B/4;0;40;;Liste I;Antimycosique Antifongique;Comprimes Gelules
Funzol 150mg cp B/1;0;40;;Liste I;Antimycosique Antifongique;Comprimes Gelules
Griseo 125mg cp B/30;1;2?025;20/05/2023;Liste I;Antimycosique Antifongique;Comprimes Gelules
Griseo 250mg cp B/30;3;2?435;06/07/2023;LISTE I;Antimycosique Antifongique;Comprimes Gelules
Griseo 500mg cp B/16;4;2?760;12/09/2023;LISTE I;Antimycosique Antifongique;Comprimes Gelules
Griseofulvine 250mg zentiva bte/30 cp;0;2?149;22/07/2019;Liste I;Antimycosique Antifongique;Comprimes Gelules
Griseo pde T/15gr;1;966;19/09/2023;LISTE I;Antimycosique Antifongique;Pommades cremes
Gromazol creme T/20g;0;40;;Liste I;Antimycosique Antifongique;Pommades cremes
Gromazol spray Fl/50ml;0;40;;Liste I;Antimycosique Antifongique;Spray solutions externes
Gyala  DS 400mg cp b/5;2;2?643;22/09/2023;LISTE I;Antimycosique Antifongique;Comprimes Gelules
Gynodaktarin ovule B/3;0;40;;Liste I;Antimycosique Antifongique;Ovules Comprimes gynecologiques
Gynodermofix ovule B/1;0;0;;SANS TABLEAU;Antimycosique Antifongique;Ovules comprimes gynecologiques
Gynomyk 100mg ovule B/3;0;40;;Liste I;Antimycosique Antifongique;Ovules Comprimes gynecologiques
Gynopevaryl 150mg ovule B/3;0;4?021;26/09/2022;SANS TABLEAU;Antimycosique Antifongique;Ovules comprimes gynecologiques
Imazole V ovules B/7;0;40;;Liste I;Antimycosique Antifongique;Ovules Comprimes gynecologiques
Ketoderm creme T/15g;11;3?879;16/09/2023;LISTE I;Antimycosique Antifongique;Pommades cremes
Ketoderm gel moussant B/8 doses;1;10?742;24/11/2022;Liste I;Antimycosique Antifongique;Gel cutane
Ketoderm gel moussant unidose 20g;0;10?704;20/03/2023;Liste I;Antimycosique Antifongique;Gel cutane
Lamisil 1% T/15g;1;4?484;12/05/2023;LISTE II;Antimycosique Antifongique;Pommades cremes
Lamisil 1% T/7,5g;0;4?477;24/07/2020;LISTE II;Antimycosique Antifongique;Pommades cremes
Lamisil 250mg cp B/14;0;30;;Liste II;Antimycosique Antifongique;Comprimes Gelules
Lamisil 250mg cp B/28;0;4?248;01/04/2017;Liste II;Antimycosique Antifongique;Comprimes Gelules
Loitin 150mg cp B/1;0;40;;Liste I;Antimycosique Antifongique;Comprimes Gelules
Loitin 50mg cp B/7;0;40;;Liste I;Antimycosique Antifongique;Comprimes Gelules
Lomexin creme T/15g;4;2?949;06/09/2023;SANS TABLEAU;Antimycosique Antifongique;Pommades cremes
Miconal Ecobi pde T/30g;0;0;;SANS TABLEAU;Antimycosique Antifongique;Pommades cremes
Micozal 200 cp B/10;0;1?451;23/07/2023;Liste I;Antimycosique Antifongique;Comprimes Gelules
Micozal creme T/15g;5;1?544;21/09/2023;LISTE II;Antimycosique Antifongique;Pommades cremes
Mycoapaisyl 1% T/30g;0;0;;SANS TABLEAU;Antimycosique Antifongique;Pommades cremes
Mycoderme pdre Fl/30g;0;1?763;14/07/2023;SANS TABLEAU;Antimycosique Antifongique;Poudres externes
Mycostatine cp B/18;0;40;;LISTE I;Antimycosique Antifongique;Comprimes Gelules
Mycostatine susp Fl/24ml;0;40;;Liste I;Antimycosique Antifongique;Sirops 
Mycoster 1% creme T/30gr;19;3?682;15/09/2023;SANS TABLEAU;Antimycosique Antifongique;Pommades cremes
Mycoster 1% pdre T/30gr;0;3?595;24/08/2023;SANS TABLEAU;Antimycosique Antifongique;Poudres externes
Mycoster 8% sol locale + pinceau Fl/3ml;3;12?597;05/08/2023;SANS TABLEAU;Antimycosique Antifongique;Solutions externes lotions
Mycoster solution Fl/30ml;5;3?453;22/09/2023;SANS TABLEAU;Antimycosique Antifongique;Solutions externes lotions
Nizoral 200mg cp B/10;0;40;;Liste I;Antimycosique Antifongique;Comprimes Gelules
Nomyc 150mg B/1;0;7?413;17/06/2023;LISTE I;Antimycosique Antifongique;Comprimes Gelules
Nomyc 150mg B/2;0;4?258;21/08/2022;Liste I;Antimycosique Antifongique;Comprimes Gelules
Nomyc 150mg B/4;0;7?406;29/09/2022;LISTE I;Antimycosique Antifongique;Comprimes Gelules
Nomyc 50mg B/7;0;6?067;12/10/2021;LISTE I;Antimycosique Antifongique;Comprimes Gelules
Pevaryl 1% poudre Fl/30g;1;5?219;29/03/2023;SANS TABLEAU;Antimycosique Antifongique;Poudres externes
Pevaryl creme T/30g;0;2?841;02/12/2022;SANS TABLEAU;Antimycosique Antifongique;Pommades cremes
Pevaryl spray derm Fl/30g ;0;2?109;03/04/2022;SANS TABLEAU;Antimycosique Antifongique;Spray solutions externes
Phytoral 200mg cp B/10;0;2?690;08/11/2022;SANS TABLEAU;Antimycosique Antifongique;Comprimes Gelules
Phytoral pde T/15gr;5;2?812;12/09/2023;SANS TABLEAU;Antimycosique Antifongique;Pommades cremes
Polygynax ovule B/6;4;2?271;11/09/2023;LISTE I;Antimycosique Antifongique;Ovules comprimes gynecologiques
Terlomexin ovule B/3;3;3?734;05/09/2023;SANS TABLEAU;Antimycosique Antifongique;Ovules comprimes gynecologiques
Triflucan 50mg cp B/7;0;40;;LISTE I;Antimycosique Antifongique;Comprimes Gelules
Vidoxa A.I;3;3?137;04/09/2023;SANS TABLEAU;Antimycosique Antifongique;Solutions externes lotions
Fungizone cp B/40;0;40;;LISTE I;Antimycosique Antibacterien;Comprimes Gelules
Fungizonesusp FL/40ml;0;40;;Liste I;Antimycosique Antibacterien;Sirops
Dihydroartemisinine gtte buv Fl/50ml sans sucre;0;30;;Liste II;Antimigraineux;Gouttes buvables
Dilatrane100mg ACT Prol gelu B/30 sans sucre;0;1?209;12/07/2020;SANS TABLEAU;Antimigraineux;Comprimes Gelules
Dilatrane 1% sp Fl/200ml;0;0;;SANS TABLEAU;Antimigraineux;Sirops
Gynergene cafeine cp B/20;0;40;;Liste I;Antimigraineux;Comprimes Gelules
Hydergine 4,5mg cp B/30;0;30;;Liste II;Antimigraineux;Comprimes Gelules
Migretil cp B/20;2;2?313;20/09/2023;LISTE I;Antimigraineux;Comprimes Gelules
Sanmigram cp B/50;0;30;;Liste II;Antimigraineux;Comprimes Gelules
Seglor 5mg cp B/30;0;30;;LISTE II;Antimigraineux;Comprimes Gelules
Seglor  Ge gtte FL/75ml ;0;30;;Liste II;Antimigraineux;Gouttes buvables
Tamik 3mg cp B/60 sans sucre;0;30;;Liste II;Antimigraineux;Comprimes Gelules
Maxidex 0,1g 5ml;0;854;19/07/2023;Liste I;Antiinflammatoire steroidien                      ;Collyres
Allergosone goutte buv F/30ml;3;3?353;17/04/2023;LISTE I;Antiinflammatoire steroidien;Gouttes buvables
Celestamine 25mg cp B/30;0;1?807;06/05/2021;LISTE I;Antiinflammatoire steroidien;Comprimes Gelules
Celestene 0,5mg cp B/30;0;40;26/12/2022;Liste I;Antiinflammatoire steroidien;Comprimes Gelules
Celestene 2mg cp B/20;27;3?040;20/09/2023;LISTE I;Antiinflammatoire steroidien;Comprimes Gelules
Celestene 4mg/1ml inj B/3;0;3?377;20/07/2023;Liste I;Antiinflammatoire steroidien;Injectables
Celestene 8mg/2ml inj B/1;0;40;28/07/2020;LISTE I;Antiinflammatoire steroidien;Injectables
Celestene chronodose inj B/1 amp;0;40;;Liste I;Antiinflammatoire steroidien;Injectables
Celstene gtte buv F/30ml;0;2?852;23/07/2023;LISTE I;Antiinflammatoire steroidien;Gouttes buvables
Cortancyl 20mg cp B/20;7;3?016;11/09/2023;LISTE I;Antiinflammatoire steroidien;Comprimes Gelules
Depo-medrol 40 inj B/1;0;40;;Liste I;Antiinflammatoire steroidien;Injectables
Depo-medrol 80 inj B/1;0;40;;Liste I;Antiinflammatoire steroidien;Injectables
Diprostene inj B/1 ser pre-remplie de  1 ml;0;4?258;25/05/2023;LISTE I;Antiinflammatoire steroidien;Injectables
Flucon cy T/3ml;37;1?281;22/09/2023;LISTE I;Antiinflammatoire steroidien;Collyres
Hydrocortisone 10mg cp Roussel B/25;0;2?265;24/09/2021;LISTE I;Antiinflammatoire steroidien;Comprimes Gelules
Isolone 20mg cp B/30;7;3?747;19/09/2023;LISTE I;Antiinflammatoire steroidien;Comprimes Gelules
Isolone 5mg eff B/30;0;1?583;05/06/2023;LISTE I;Antiinflammatoire steroidien;Comprimes Gelules
Isone 20mg cp B/20;6;3?576;14/09/2023;LISTE I;Antiinflammatoire steroidien;Comprimes Gelules
Isone 5mg cp B/30;0;1?247;24/08/2023;LISTE I;Antiinflammatoire steroidien;Comprimes Gelules
Kenacort 40mg inj B/1;0;2?250;24/09/2022;LISTE I;Antiinflammatoire steroidien;Injectables
Kenacort 80mg inj B/1;0;4?099;17/07/2021;Liste I;Antiinflammatoire steroidien;Injectables
Medrol 16 mg cp B/30;0;4?484;04/02/2023;Liste I;Antiinflammatoire steroidien;Comprimes Gelules
Medrol 4 mg cp B/30;4;2?493;15/09/2023;Liste I;Antiinflammatoire steroidien;Comprimes Gelules
Miflasone 100 pdre pr inhalation Fl/60 doses;0;40;;Liste I;Antiinflammatoire steroidien;Poudres inhalation
Miflasone 400 cp B/60;0;40;;Liste I;Antiinflammatoire steroidien;Comprimes Gelules
Becotide 250 eg buccal aer /80 doses;0;40;;Liste I;Antiinflammatoire sterodien et Antiasthmatique;Spray aerosol
Beconase 50 eg 100 doses spray nasal;0;40;;Liste I;Antiinflammatoire sterodien Decongestif nasal;Gouttes/Spray nasal
Capsulide 100 mg cp B/10;2;831;22/09/2023;LISTE I;Antiinflammatoire non steroidien Antirhusmatimal;Comprimes Gelules
Nexen 100mg cp B/30;0;40;;Liste I;Antiinflammatoire non steroidien Antirhusmatimal;Comprimes Gelules
Nim 100mg cp B/30;3;2?522;19/09/2023;LISTE I;Antiinflammatoire non steroidien Antirhusmatimal;Comprimes Gelules
Antarene 5%gel T/50ml;0;0;;SANS TABLEAU;Antiinflammatoire non steroidien Antalgique Antipy;Gel cutane
Antarene Ge 200mg cp B/30;0;1?097;12/06/2019;LISTE II;Antiinflammatoire non steroidien Antalgique Antipy;Comprimes Gelules
Apifen 200mg cp B/20;1;1?036;13/06/2023;LISTE II;Antiinflammatoire non steroidien Antalgique Antipy;Comprimes Gelules
Apifen 400mg cp B/30;9;1?157;17/09/2023;LISTE II;Antiinflammatoire non steroidien Antalgique Antipy;Comprimes Gelules
Brufen 400mg cp B/30;2;2?444;18/09/2023;LISTE II;Antiinflammatoire non steroidien Antalgique Antipy;Comprimes Gelules
Brufen sp FL/100ml;11;2?760;05/09/2023;LISTE II;Antiinflammatoire non steroidien Antalgique Antipy;Sirops
Diclopar cp B/10;0;779;25/12/2021;LISTE II;Antiinflammatoire non steroidien Antalgique Antipy;Comprimes Gelules
Diclowal 100mg Retard cp B/10;0;2?400;16/04/2022;LISTE II;Antiinflammatoire non steroidien Antalgique Antipy;Comprimes Gelules
Diclowal 100mg suppo B/10;13;2?399;15/09/2023;LISTE II;Antiinflammatoire non steroidien Antalgique Antipy;Suppositoires
Diclowal 50mg cp B/20;0;2?306;20/01/2021;LISTE II;Antiinflammatoire non steroidien Antalgique Antipy;Comprimes Gelules
Hemagene tailleur cp B/24;0;30;;Liste II;Antiinflammatoire non steroidien Antalgique Antipy;Comprimes Gelules
Ibuprofen 200mg creat plag/10 cp;0;222;15/01/2023;Liste II;Antiinflammatoire non steroidien Antalgique Antipy;Comprimes Gelules
Ibuprofen 400mg creat plag/10 cp;0;30;18/12/2020;LISTE II;Antiinflammatoire non steroidien Antalgique Antipy;Comprimes Gelules
Ibuprofen 400mg denk plag/10x10 cp;13;477;19/09/2023;LISTE II;Antiinflammatoire non steroidien Antalgique Antipy;Comprimes Gelules
Lofnac gel T/30g;5;1?540;21/08/2023;LISTE II;Antiinflammatoire non steroidien Antalgique Antipy;Gel cutane
Lofnac P cp B/10;3;1?506;12/09/2023;LISTE II;Antiinflammatoire non steroidien Antalgique Antipy;Comprimes Gelules
Nivea lait fairness eclairc fl/250ml ;2;2?420;03/03/2023;SANS TABLEAU;Antiinflammatoire non steroidien Antalgique Antipy;Baume Lait
Ponstyl 500 mg suppo B/8;0;1?622;29/06/2017;Liste II;Antiinflammatoire non steroidien Antalgique Antipy;Suppositoires
Ponstyl sp FL /60ml;0;2?842;10/05/2019;LISTE II;Antiinflammatoire non steroidien Antalgique Antipy;Sirops
Algesal baume T/40g;1;2?229;01/08/2023;SANS TABLEAU;Antiinflammatoire non steroidien Antalgique;Pommades cremes
Cliptol gel T/50g;6;3?060;29/07/2023;SANS TABLEAU;Antiinflammatoire non steroidien Antalgique;Gel cutane
Clofen forte cp B/10;0;40;08/03/2018;Liste I;Antiinflammatoire non steroidien Antalgique;Comprimes Gelules
Ecomi poudre Fl/30g;0;0;;SANS TABLEAU;Antiinflammatoire non steroidien Antalgique;Poudres externes
Econif cp B/10;0;30;;Liste II;Antiinflammatoire non steroidien Antalgique;Comprimes Gelules
Reumoxican 20mg cp B/30;0;40;03/02/2022;Liste I;Antiinflammatoire non steroidien  ;Comprimes Gelules
Reumoxican 20mg  suppo B/12;1;2?475;23/08/2022;Liste I;Antiinflammatoire non steroidien  ;Suppositoires
Solicam 20mg cp B/10;0;40;;Liste I;Antiinflammatoire non steroidien ;Comprimes Gelules
Solumedrol 120 mg inj fl +amp B/1;0;2?303;16/07/2021;Liste I;Antiinflammatoire non steroidien ;Injectables
Solumedrol 20mg inj fl + amp B/1;0;40;15/09/2019;Liste I;Antiinflammatoire non steroidien ;Injectables
Solupred 5mg cp B/30;0;2?149;17/07/2018;Liste I;Antiinflammatoire non steroidien ;Comprimes Gelules
Surgam 100mg cp B/30;0;4?248;08/07/2020;Liste II;Antiinflammatoire non steroidien ;Comprimes Gelules
Airtal cp B/10;4;3?272;21/08/2023;LISTE II;Antiinflammatoire non steroidien;Comprimes Gelules
Airtal cp B/40;0;11?403;01/08/2023;LISTE II;Antiinflammatoire non steroidien;Comprimes Gelules
Antadys 100mg cp B/15;21;2?842;15/09/2023;LISTE II;Antiinflammatoire non steroidien;Comprimes Gelules
Apranax 275mg cp B/10;0;30;;LISTE II;Antiinflammatoire non steroidien;Comprimes Gelules
Apranax 550mg cp B/16;0;30;;Liste II;Antiinflammatoire non steroidien;Comprimes Gelules
Artotec cp 50mg B/30;0;6?752;25/11/2018;LISTE I;Antiinflammatoire non steroidien;Comprimes Gelules
Artotec cp 75mg B/20;0;5?014;;LISTE I;Antiinflammatoire non steroidien;Comprimes Gelules
Baume Saint Bernard T/100g;0;1?912;31/08/2019;SANS TABLEAU;Antiinflammatoire non steroidien;Pommades cremes
Baume Saint Bernard T/42g;0;950;09/10/2018;SANS TABLEAU;Antiinflammatoire non steroidien;Pommades cremes
Bi-Profenid cp B/20;0;3?545;03/11/2019;Liste II;Antiinflammatoire non steroidien;Comprimes Gelules
Brustan sp FL/100ml;16;1?164;22/09/2023;LISTE II;Antiinflammatoire non steroidien;Sirops
B-Tamin cp B/30;0;0;;SANS TABLEAU;Antiinflammatoire non steroidien;Comprimes Gelules
Cebutid 10mg cp B/15;0;30;;Liste II;Antiinflammatoire non steroidien;Comprimes Gelules
Cebutide LP 200mg gelu B/16;0;30;;Liste II;Antiinflammatoire non steroidien;Comprimes Gelules
Cefaperos 250mg  sp Fl/60ml;0;40;;LISTE I;Antiinflammatoire non steroidien;Sirops
